Country,Sector,Sovereign / Non-Sovereign,Title,Commitment in UA,Status,Signature Date,country,Projects,Capacity (MW),Project,Capacity(MW),Name of Plant
,,,,,,,Ethiopia,,,Dila Wind,100.0,
,,,,,,,Ethiopia,,,Dofan-Fantale Geothermal,50.0,
,,,,,,,Ethiopia,,,Fantale Geothermal Phase I,150.0,
,,,,,,,Ethiopia,,,Gad Solar PV,125.0,
,,,,,,,Ethiopia,,,Geba Hydro,371.0,
,,,,,,,Ethiopia,,,Genale Dawa V Hydro,100.0,
,,,,,,,Ethiopia,,,Genale Dawa VI Hydro,256.0,
,,,,,,,Ethiopia,,,Gilgel Gibe V Hydro,560.0,
,,,,,,,Ethiopia,,,Halele-Werabesa Hydro,422.6,
,,,,,,,Ethiopia,,,Humera Solar PV,100.0,
,,,,,,,Ethiopia,,,Hurso Solar PV,125.0,
,,,,,,,Ethiopia,,,Iteya I (Adama III) Wind,150.0,
,,,,,,,Ethiopia,,,Iteya II Wind,300.0,
,,,,,,,Ethiopia,,,Karadobi Hydro,1600.0,
,,,,,,,Ethiopia,,,Lotus Energy Solar PV Waste Battery,500.0,
,,,,,,,Ethiopia,,,Masdar Solar PV,500.0,
,,,,,,,Ethiopia,,,Mega Maji Wind,100.0,
,,,,,,,Ethiopia,,,Mekele Solar PV,100.0,
,,,,,,,Ethiopia,,,Melka Sedi Biomass,137.5,
,,,,,,,Ethiopia,,,Mesobo-Harena Wind,51.0,
,,,,,,,Ethiopia,,,Metehara Solar PV,100.0,
,,,,,,,Ethiopia,,,Metema Solar PV,125.0,
,,,,,,,Ethiopia,,,Scaling Wind,500.0,
,,,,,,,Ethiopia,,,Sululta Wind-,100.0,
,,,,,,,Ethiopia,,,Tams Hydro,1700.0,
,,,,,,,Ethiopia,,,Tekeze II Hydro,600.0,
,,,,,,,Ethiopia,,,Tulu Moye Geothermal,520.0,
,,,,,,,Ethiopia,,,Wabi Hydro,150.0,
,,,,,,,Ethiopia,,,Welenchiti Solar PV,150.0,
,,,,,,,Ethiopia,,,Weranso Solar PV,150.0,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Ethiopia,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Ethiopia,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Ethiopia,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Ethiopia,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Ethiopia,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Ethiopia,,,,,
Mali,Power,Sovereign,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),20000000.0,Implementation,11 Jan 2018,Ethiopia,,,,,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Gabon,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Gabon,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Gabon,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Gabon,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Gabon,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Gabon,,,,,
Mali,Power,Sovereign,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),20000000.0,Implementation,11 Jan 2018,Gabon,,,,,
,,,,,,,Gabon,,,Ayemé Solar PV,120.0,
,,,,,,,Gabon,,,Booué Hydro,410.0,
,,,,,,,Gabon,,,Dibwangui Hydro,15.0,
,,,,,,,Gabon,,,Kinguélé Aval Hydro,35.0,
,,,,,,,Gabon,,,Libreville Solar PV,50.0,
,,,,,,,Gabon,,,Ngoulmendjim Hydro,73.0,
,,,,,,,Gabon,,,Owendo Orinko Gas,120.0,
,,,,,,,Gabon,,,Oyem Solar PV,50.0,
,,,,,,,Gabon,,,Tsengue-Lélédi Hydro,180.0,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Gabon,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Gabon,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Gabon,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Gabon,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Gabon,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Gabon,,,,,
Mali,Power,Sovereign,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),20000000.0,Implementation,11 Jan 2018,Gabon,,,,,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Gambia,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Gambia,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Gambia,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Gambia,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Gambia,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Gambia,,,,,
Mali,Power,Sovereign,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),20000000.0,Implementation,11 Jan 2018,Gambia,,,,,
,,,,,,,Gambia,,,"Brikama Solar PV, Battery",20,
,,,,,,,Gambia,,,"Jambur Solar PV, Battery",15-20,
,,,,,,,Gambia,,,Kotu HFO II,30,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Gambia,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Gambia,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Gambia,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Gambia,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Gambia,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Gambia,,,,,
Mali,Power,Sovereign,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),20000000.0,Implementation,11 Jan 2018,Gambia,,,,,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Ghana,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Ghana,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Ghana,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Ghana,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Ghana,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Ghana,,,,,
Mali,Power,Sovereign,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),20000000.0,Implementation,11 Jan 2018,Ghana,,,,,
,,,,,,,Ghana,,,Tico Takoradi II Gas LCO,330,
,,,,,,,Ghana,,,Amandi Twin City Energy Gas,192,
,,,,,,,Ghana,,,Cenpower Kpone Gas,340,
,,,,,,,Ghana,,,Meinergy Solar PV,20,
,,,,,,,Ghana,,,Onyandze Solar PV,20,
,,,,,,,Ghana,,,Sunon Asogli Kpone Gas,200,
,,,,,,,Ghana,,,Sunon Asogli Kpone Gas Expansion,360,
,,,,,,,Ghana,,,Tema Aksa HFO,370,
,,,,,,,Ghana,,,"Tema Cenit Gas, LCO TCTPP",126,
,,,,,,,Ghana,,,Ada Wave,100,
,,,,,,,Ghana,,,Aggreko Essiama Gas,100,
,,,,,,,Ghana,,,Agogo Wind,50,
,,,,,,,Ghana,,,Amlakpo Wind,200,
,,,,,,,Ghana,,,Ankoma Wind,50,
,,,,,,,Ghana,,,Armech Africa Landfill Waste-to-Energy,57,
,,,,,,,Ghana,,,Ayitepa Wind,225,
,,,,,,,Ghana,,,Bridge Power Phase II LPG,206,
,,,,,,,Ghana,,,Buipe Solar PV,20,
,,,,,,,Ghana,,,Cape Coast Marina City Solar PV,200,
,,,,,,,Ghana,,,Dawa Solar PV,15,
,,,,,,,Ghana,,,Essiama Isopentane Gas,31,
,,,,,,,Ghana,,,G8 Floating Solar PV,65,
,,,,,,,Ghana,,,GRE Energy Kpone Gas,328,
,,,,,,,Ghana,,,"KATT Power Gas, HFO",300,
,,,,,,,Ghana,,,Koluedor Wind,160,
,,,,,,,Ghana,,,Konikablo Wind,200,
,,,,,,,Ghana,,,Madavunu Wind,200,
,,,,,,,Ghana,,,Nzema Solar PV,155,
,,,,,,,Ghana,,,Rotan Power Gas,660,
,,,,,,,Ghana,,,Shea Nut Biomass,4.5-5,
,,,,,,,Ghana,,,"Tema TCTPP-TT1PP CCGT Conversion LCO, Gas",330,
,,,,,,,Ghana,,,Tilli Solar PV,20,
,,,,,,,Ghana,,,Village Corps Ghana Biomass,20,
,,,,,,,Ghana,,,Volta Region Solar PV,20,
,,,,,,,Ghana,,,WindStar Ada Wind,50,
,,,,,,,Ghana,,,Yam Pro Wave,10,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Ghana,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Ghana,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Ghana,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Ghana,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Ghana,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Ghana,,,,,
Mali,Power,Sovereign,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),20000000.0,Implementation,11 Jan 2018,Ghana,,,,,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Guinea,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Guinea,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Guinea,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Guinea,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Guinea,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Guinea,,,,,
Mali,Power,Sovereign,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),20000000.0,Implementation,11 Jan 2018,Guinea,,,,,
,,,,,,,Guinea,,,Kaloum HFO I,24.0,
,,,,,,,Guinea,,,Kaloum II HFO,25.8,
,,,,,,,Guinea,,,Kipé HFO,49.8,
,,,,,,,Guinea,,,Tè Power HFO,50.0,
,,,,,,,Guinea,,,Boké Solar PV,10.0,
,,,,,,,Guinea,,,Boké Solar PV II,50.0,
,,,,,,,Guinea,,,Brahms Oil Refineries Solar PV,33.0,
,,,,,,,Guinea,,,CGE Mamou Solar PV,30.0,
,,,,,,,Guinea,,,Frankonédou Hydro,36.0,
,,,,,,,Guinea,,,Kamsar Solar PV,20.0,
,,,,,,,Guinea,,,Kankan Solar PV,25.0,
,,,,,,,Guinea,,,Kérouané Solar PV,5.0,
,,,,,,,Guinea,,,Khoumagueli Solar PV Phase I,40.0,
,,,,,,,Guinea,,,Khoumagueli Solar PV Phase II,44.0,
,,,,,,,Guinea,,,Kogbédou Hydro,16.5,
,,,,,,,Guinea,,,Kouroussa Solar PV,10.0,
,,,,,,,Guinea,,,Mandiana Solar PV,10.0,
,,,,,,,Guinea,,,Orion Mamou Solar PV,30.0,
,,,,,,,Guinea,,,Soguéta Solar PV,30.0,
,,,,,,,Guinea,,,"Thianguel Bori Solar PV, Hydro",43.0,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Guinea,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Guinea,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Guinea,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Guinea,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Guinea,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Guinea,,,,,
Mali,Power,Sovereign,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),20000000.0,Implementation,11 Jan 2018,Guinea,,,,,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Guinea-Bissau,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Guinea-Bissau,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Guinea-Bissau,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Guinea-Bissau,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Guinea-Bissau,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Guinea-Bissau,,,,,
Mali,Power,Sovereign,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),20000000.0,Implementation,11 Jan 2018,Guinea-Bissau,,,,,
,,,,,,,Guinea-Bissau,,,"Bafata Solar PV, Battery",15.0,
,,,,,,,Guinea-Bissau,,,"Gabu Solar PV, Battery",15.0,
,,,,,,,Guinea-Bissau,,,Saltinho Hydro,20.0,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Guinea-Bissau,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Guinea-Bissau,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Guinea-Bissau,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Guinea-Bissau,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Guinea-Bissau,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Guinea-Bissau,,,,,
Mali,Power,Sovereign,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),20000000.0,Implementation,11 Jan 2018,Guinea-Bissau,,,,,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Ivory-Coast,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Ivory-Coast,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Ivory-Coast,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Ivory-Coast,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Ivory-Coast,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Ivory-Coast,,,,,
Mali,Power,Sovereign,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),20000000.0,Implementation,11 Jan 2018,Ivory-Coast,,,,,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Ivory-Coast,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Ivory-Coast,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Ivory-Coast,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Ivory-Coast,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Ivory-Coast,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Ivory-Coast,,,,,
Mali,Power,Sovereign,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),20000000.0,Implementation,11 Jan 2018,Ivory-Coast,,,,,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Kenya,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Kenya,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Kenya,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Kenya,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Kenya,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Kenya,,,,,
Mali,Power,Sovereign,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),20000000.0,Implementation,11 Jan 2018,Kenya,,,,,
,,,,,,,Kenya,,75,Tsavo Power Company Ltd,,
,,,,,,,Kenya,,"Plant 1-56, Plant 2-52.5",Iberafrica Power Ltd,,
,,,,,,,Kenya,,87,Thika Power Ltd,,
,,,,,,,Kenya,,90,Rabai Power Limited,,
,,,,,,,Kenya,,80.3,Gulf Power (,,
,,,,,,,Kenya,,83,Triumph Generation Company,,
,,,,,,,Kenya,,40,Cedate Eldosol Solar PV,,
,,,,,,,Kenya,,0.62,Gikira Hydro,,
,,,,,,,Kenya,,2,Gura Hydro,,
,,,,,,,Kenya,,0.05,Karungu Solar PV,,
,,,,,,,Kenya,,102,Kipeto Wind Battery,,
,,,,,,,Kenya,,310,Lake Turkana Wind,,
,,,,,,,Kenya,,40,Malindi Solar PV,,
,,,,,,,Kenya,,40,Selenkei Radiant Energy Solar PV,,
,,,,,,,Kenya,,0.6,Strathmore University Solar PV,,
,,,,,,,Kenya,,0.936,Tatu City Rooftop Solar PV,,
,,,,,,,Kenya,,5,Teremi Falls Hydro,,
,,,,,,,Kenya,,140,Akiira Geothermal,,
,,,,,,,Kenya,,49.5,Aperture Green Limuru Wind,,
,,,,,,,Kenya,,300,Baringo-Silali Geothermal Phase I,,
,,,,,,,Kenya,,140,Barrier Geothermal,,
,,,,,,,Kenya,,350,Bubisa Wind,,
,,,,,,,Kenya,,2.5,Chemosit Hydro,,
,,,,,,,Kenya,,50,Corner Baridi Wind,,
,,,,,,,Kenya,,50,Esidai Wind,,
,,,,,,,Kenya,,4,Gitugi Hydro,,
,,,,,,,Kenya,,35,Globeleq Menengai Geothermal,,
,,,,,,,Kenya,,,Greenlight Gichuki Hydro,,
,,,,,,,Kenya,,35,Homa Bay Hyacinth Biogas,,
,,,,,,,Kenya,,40,Isiolo Solar PV,,
,,,,,,,Kenya,,14.7,Kaptis Hydro,,
,,,,,,,Kenya,,40,Kesses Solar PV II,,
,,,,,,,Kenya,,28,Khalala Hydro,,
,,,,,,,Kenya,,40,Kiamariga Solar PV,,
,,,,,,,Kenya,,10,Kibera Waste Pilot,,
,,,,,,,Kenya,,40,Kibwezi One Energy Solar PV,,
,,,,,,,Kenya,,2.6,Kipsonoi Hydro,,
,,,,,,,Kenya,,1.1,Kiringa Hydro,,
,,,,,,,Kenya,,40,Kisumu Solar One PV,,
,,,,,,,Kenya,,20,"Kitengela Solar PV, Biogas",,
,,,,,,,Kenya,,10,Kitui Looop Solar PV Phase I,,
,,,,,,,Kenya,,30,Kitui Looop Solar PV Phase II,,
,,,,,,,Kenya,,40,Kogelo Solar PV,,
,,,,,,,Kenya,,350,Lake Turkana Wind Phase II,,
,,,,,,,Kenya,,350,Lake Turkana Wind Phase III,,
,,,,,,,Kenya,,50-200,Lamu Gas,,
,,,,,,,Kenya,,140,Longonot Agil Geothermal Phases I-II,,
,,,,,,,Kenya,,30,Makindu Solar PV,,
,,,,,,,Kenya,,7.8,Maresi Hydro,,
,,,,,,,Kenya,,10,Matiri Hydro,,
,,,,,,,Kenya,,40,Midland Solar PV Phase I,,
,,,,,,,Kenya,,50,Midland Solar PV Phase II,,
,,,,,,,Kenya,,90,Mpeketoni Wind,,
,,,,,,,Kenya,,2.5,Mung'ang'a Waste Pilot,,
,,,,,,,Kenya,,4.5,Munyi Hydro,,
,,,,,,,Kenya,,7.8,Mutunguru Hydro,,
,,,,,,,Kenya,,9.5,Ndano Hydro,,
,,,,,,,Kenya,,50,Ngong Chania Green Wind,,
,,,,,,,Kenya,,25,Ngongo Hills Hybrid Solar Wind,,
,,,,,,,Kenya,,5,Nithi Hydro,,
,,,,,,,Kenya,,8.5,Njumbi Hydro,,
,,,,,,,Kenya,,40,Nyakwere Hills Solar PV,,
,,,,,,,Kenya,,4,Nyamasege Hydro,,
,,,,,,,Kenya,,2.1,Nyambunde Hydro,,
,,,,,,,Kenya,,25.5,Nyamindi Cascade Hydro,,
,,,,,,,Kenya,,58.4,Olkaria Geothermal Wellhead Lease,,
,,,,,,,Kenya,,35,Orpower Twenty Two Menengai Geothermal,,
,,,,,,,Kenya,,3.5,Rukenya Hydro,,
,,,,,,,Kenya,,40,Rumuruti Solar PV,,
,,,,,,,Kenya,,1.8,Rupingazi Hydro,,
,,,,,,,Kenya,,6,Sakhala Hydro,,
,,,,,,,Kenya,,40,Samburu Solar PVI,,
,,,,,,,Kenya,,10,Samburu Solar PV II,,
,,,,,,,Kenya,,4.5,Sossio Hydro,,
,,,,,,,Kenya,,150,Suswa,,
,,,,,,,Kenya,,17,Tembo Power I Hydro,,
,,,,,,,Kenya,,24,Tembo Power III Hydro,,
,,,,,,,Kenya,,51.5,Timau Solar PV,,
,,,,,,,Kenya,,2.5,Tindinyo (KTDA) Hydro,,
,,,,,,,Kenya,,10,Transmara Solar PV,,
,,,,,,,Kenya,,10,Yala Hydro,,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Kenya,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Kenya,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Kenya,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Kenya,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Kenya,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Kenya,,,,,
